Feature,Feature Value,SHAP Value,Absolute Value,Category
cell_x_ul_tx_39,-1.0,0.0,0.0,cell_x_ul_tx
ul_total_bytes_non_incr_39,443259.0,0.0,0.0,ul_total_bytes_non_incr
dl_total_bytes_non_incr_39,1178448.0,0.0,0.0,dl_total_bytes_non_incr
dl_bitrate_40,1876845.0,0.0,0.0,dl_bitrate
ul_bitrate_40,779923.0,0.0,0.0,ul_bitrate
cell_x_dl_retx_40,-1.0,0.0,0.0,cell_x_dl_retx
cell_x_dl_tx_40,-1.0,0.0,0.0,cell_x_dl_tx
cell_x_ul_retx_40,-1.0,0.0,0.0,cell_x_ul_retx
cell_x_ul_tx_40,-1.0,0.0,0.0,cell_x_ul_tx
ul_total_bytes_non_incr_40,452672.0,0.0,0.0,ul_total_bytes_non_incr
dl_total_bytes_non_incr_40,1242256.0,0.0,0.0,dl_total_bytes_non_incr
dl_bitrate_41,3701579.0,0.0,0.0,dl_bitrate
ul_bitrate_41,339276.0,0.0,0.0,ul_bitrate
cell_x_dl_retx_41,-1.0,0.0,0.0,cell_x_dl_retx
cell_x_dl_tx_41,-1.0,0.0,0.0,cell_x_dl_tx
cell_x_ul_retx_41,-1.0,0.0,0.0,cell_x_ul_retx
cell_x_ul_tx_41,-1.0,0.0,0.0,cell_x_ul_tx
ul_total_bytes_non_incr_41,197102.0,0.0,0.0,ul_total_bytes_non_incr
dl_total_bytes_non_incr_41,2307678.0,0.0,0.0,dl_total_bytes_non_incr
dl_bitrate_42,2266883.0,0.0,0.0,dl_bitrate
ul_bitrate_42,140837.0,0.0,0.0,ul_bitrate
cell_x_dl_retx_42,-1.0,0.0,0.0,cell_x_dl_retx
cell_x_dl_tx_42,-1.0,0.0,0.0,cell_x_dl_tx
cell_x_ul_retx_42,-1.0,0.0,0.0,cell_x_ul_retx
cell_x_ul_tx_42,-1.0,0.0,0.0,cell_x_ul_tx
ul_total_bytes_non_incr_42,68565.0,0.0,0.0,ul_total_bytes_non_incr
dl_total_bytes_non_incr_42,1416764.0,0.0,0.0,dl_total_bytes_non_incr
ul_bitrate_43,392135.0,0.0,0.0,ul_bitrate
cell_x_dl_retx_43,-1.0,0.0,0.0,cell_x_dl_retx
